transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,amt,is_fraud
TXN-0789498A4415,USR00273,19573.2192,2024-05-16T19:59:11,JAI∆,kolkata,Groceries,DEV-6C1D1879,mob!le,CARD,170296.25,pending,29.205.210.89,,1
TXN-3BC8588B6A0A,USR00296,4635.33,02/11/2024 04:37 PM,pune,ahmedabad,Groceries,DEV-AC3C6C9D,,,220960.74,failed,,,0
TXN-5BA32A024C85,USR00217,18922.7277,2024-01-23T07:49:56,bangaloreø,delhi,Fashion,DEV-F7C0517E,tablet,Wallet,47607.91,SUCCESS,999.999.1.1,16153.1666,0
TXN-FF492E562995,USR00172,₹14633,2024-03-08T01:48:57,kolkataø,bangalore,Food,DEV-12CB2B03,tablet,UPI,98878.94,SUCCESS,,,0
TXN-C160FA1E57BB,USR00144,15974.27144644,2024-03-02T20:07:25,ahmedabadß,pune,,DEV-916B08F0,,UPI,129193.0,pending,170.23.64.114,,1
TXN-B77DAE2D3B65,USR00130,4223.7672,2023-12-22T13:38:20,pune⚠,JAI,Trav#,DEV-752392AE,mob!le,CARD,-2404.49,pending,209.60.45.68,,0
TXN-CF4BFAA48B41,USR00021,6123.29,2023-12-22T08:06:56,hydß,chennai,Elec⚡,DEV-2137EF16,tablet,Wallet,254580.94,success,66.218.182.212,,0
TXN-5386FEF867E1,USR00250,₹3012,05-06-2024 16:48,mumbaiø,mumßai,Groceries,DEV-E6E87876,mob!le,upi,,success,25.148.102.156,,0
TXN-E6EA47E008FC,USR00295,12509.448,04/10/2024 04:01 AM,hyd⚠,ahmedabad,Gaming,DEV-7AE7DF3A,mob!le,CARD,77288.24,failed,abc.def.ghi.jkl,,0
TXN-1289D06E01D7,USR00026,9445.69144507,2024-01-22T05:47:29,ahmedabad,kolkata,Fashion,DEV-003A5221,desktop,UPI,56797.27,SUCCESS,250.215.155.214,,0
TXN-799CEF287092,USR00342,15402.6576,2024-02-08T18:35:25,kolkataß,bangalore,Trav#,DEV-AE74B184,mob!le,Wallet,5095.23,failed,,,0
TXN-E983953FDA59,USR00398,16753.28942346,2024-01-17T18:05:26,hyd,bangalore,Elec⚡,,mobile,NetBanking,191231.74,success,999.999.1.1,,0
TXN-12AD62394FFD,USR00329,₹14874,2024-02-09T14:11:19,kolkata⚠,pune,Fashion,DEV-C8E861B1,desktop,CARD,7813.83,failed,174.53.93.178,,0
TXN-238FC9748DE7,USR00121,1977.26,2024-05-23T04:46:27,kolkataß,pune,Trav#,DEV-49DBB31E,mob!le,upi,202050.91,SUCCESS,71.166.147.210,,0
TXN-1AF5C82D2670,USR00153,72.93257276,2024-06-01T14:14:38,delh!⚠,JAI,Gaming,,mobile,Wallet,219679.98,pending,27.87.87.153,,0
TXN-A8608A09501E,USR00340,,2024-02-14T02:20:21,hyd,delhi,Elec⚡,DEV-B1A78592,mob!le,Wallet,-3074.67,failed,177.216.68.159,356.3684,0
TXN-D9710AC397B0,USR00043,15408.38498348,2024-04-27T15:21:41,ahmedabadø,delh!,Elec⚡,DEV-9055BD75,mobile,UPI,174137.19,success,88.218.19.192,,1
TXN-046A15E974CE,USR00024,Rs 18016,2024-01-16T19:32:33,bangalore⚠,mumßai,Elec⚡,DEV-7AC7CBD7,mob!le,NetBanking,240009.25,SUCCESS,244.138.77.74,,1
TXN-7CDF32E5683E,USR00029,-125.06,2024-01-26T00:35:15,bangalore,kolkata,Trav#,DEV-F45F9077,mob!le,NetBanking,183121.7,failed,,,0
TXN-37741932679F,USR00328,7914.22,2024-01-10T12:04:10,bangalore∆,chennai,Travel,DEV-29098ECB,desktop,Wallet,4535.36,SUCCESS,,,0
TXN-85C78FF04EB6,USR00110,18858.9322,2024-05-22T02:12:39,chennaiø,chennai,Elec⚡,DEV-73F2F3E5,,,248352.42,pending,49.184.152.175,,1
TXN-E0DD783CB761,USR00371,,2024-06-22T09:16:54,puneß,mumßai,,DEV-31CB2623,tablet,CARD,51125.96,pending,96.241.208.5,,0
TXN-77A23426B906,USR00235,unknown,02/22/2024 11:18 PM,mumßaiß,JAI,Groceries,DEV-8D38FA9D,tablet,Card,218392.82,pending,63.84.152.57,,1
TXN-8C6C84AC06B7,USR00293,₹18544,02-01-2024 15:12,kolkata∆,kolkata,Travel,DEV-2CA4A657,mob!le,,112219.66,pending,9.39.169.126,,0
