transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,amt,is_fraud
TXN-5FF26EE409D3,USR0011,7430.0488254157,2024-02-01T21:15:43,kolkata,delhi,,DEV-CFBCF473,desktop,UPI,44194.34,pending,77.34.43.215,,0
TXN-AE4A7BF72818,USR0115,12232.77,2024-02-26T03:26:32,hyd,hyd,Food,DEV-877805FC,desktop,NetBanking,,failed,63.87.220.19,,0
TXN-C38851047761,USR0112,8144.6820757391,2024-03-06T06:05:43,delhi,bangalore,Food,DEV-79BC00C4,tablet,,111669.36,success,37.220.96.84,,0
TXN-DC11B253EAB0,USR0037,8883.9732,2024-03-25T21:17:42,chennai,hyd,Food,,mobile,NetBanking,,success,85.187.6.109,,0
TXN-ABEF46272C23,USR0106,,2024-04-29T22:00:24,pune,pune,Electronics,DEV-F48B86BA,tablet,Wallet,74349.37,failed,204.150.48.208,,0
TXN-237C0032D439,USR0077,6490.07,2024-04-09T13:13:03,bangalore,bangalore,Travel,DEV-AF8A4C25,mobile,Card,156516.8,success,227.141.223.167,,0
TXN-20D745ECF785,USR0088,9056.4481,2024-01-27T01:18:15,chennai,hyd,Food,DEV-8F3EF074,tablet,Wallet,,failed,252.216.6.177,,0
TXN-FDC4BDF755EB,USR0013,11102.6715023695,2024-03-29T00:44:18,delhi,delhi,Food,DEV-5E5EEF9F,desktop,Wallet,58484.11,pending,92.73.108.154,,0
TXN-C605EFF34452,USR0021,,2024-02-22T11:42:06,ahmedabad,JAI,Gaming,DEV-AF488C8C,desktop,Card,156622.41,failed,,,0
TXN-9340ECC25FF7,USR0071,14932.28,2024-02-28T15:16:15,bangalore,mumbai,Fashion,DEV-F9B3595B,tablet,,164499.68,failed,62.204.134.154,839.6263,0
TXN-DFF9ABC00505,USR0074,1889.7168812913,2024-01-15T08:10:01,bangalore,delhi,,DEV-41D442D9,desktop,NetBanking,179785.16,failed,26.59.28.131,,1
TXN-3B5269D8C129,USR0101,Rs 4705,07-02-2024 10:03,ahmedabad,JAI,Gaming,DEV-C1493454,mobile,Card,11866.3,success,195.140.70.15,,0
TXN-1C5BE0644ECE,USR0099,₹8933,2024-04-07T08:21:45,hyd,chennai,Groceries,DEV-41272538,mobile,UPI,3620.93,success,90.143.251.242,,0
TXN-A862A72BBE4C,USR0084,13216.3327668841,2024-03-19T18:52:26,mumbai,kolkata,Travel,DEV-8CFE7FBF,mobile,UPI,13441.64,success,25.26.17.39,,0
TXN-55FE31EADEF9,USR0093,9804.9538,2024-02-28T19:58:20,chennai,mumbai,Gaming,DEV-F17FD9C8,desktop,Card,36035.98,pending,160.54.203.245,,0
TXN-BC786C630754,USR0065,,2024-02-14T05:12:57,mumbai,kolkata,Fashion,DEV-5E6AC255,tablet,Wallet,131885.51,failed,156.231.14.238,,0
TXN-ADB9E9BC1677,USR0043,8784.1210338016,2024-01-31T06:23:50,ahmedabad,mumbai,Food,DEV-FFE752FC,tablet,NetBanking,32689.12,failed,37.149.22.220,,0
TXN-DD557FC35320,USR0052,₹12954,2024-01-13T03:52:13,mumbai,kolkata,Electronics,DEV-3B59C877,desktop,Card,,failed,67.171.203.82,,0
TXN-A60C3CD6E759,USR0066,10961.7737,2024-04-22T11:41:46,ahmedabad,delhi,Travel,DEV-22DA5D1D,desktop,,33748.2,failed,86.122.86.82,Rs 6313,0
TXN-52CFC2F8C46A,USR0069,1278.5711635675,2024-01-18T03:20:30,chennai,delhi,Gaming,DEV-07D13075,tablet,,,success,80.65.215.51,,0
TXN-F7BC78195901,USR0037,8089.5658,2024-04-18T13:39:41,ahmedabad,chennai,,DEV-118400A0,mobile,UPI,61915.14,pending,18.201.223.206,,0
TXN-126E654ED308,USR0071,6880.08,2024-04-17T19:25:18,mumbai,ahmedabad,Fashion,DEV-2292260B,mobile,Wallet,17490.38,success,235.254.216.155,,0
TXN-802FED405855,USR0052,₹12814,2024-03-28T23:51:37,pune,JAI,,DEV-C296E43C,desktop,UPI,89481.45,pending,59.196.154.22,,0
TXN-40DCA37F4944,USR0039,14066.7604293096,2024-03-19T03:24:06,pune,hyd,,DEV-85705EFC,tablet,NetBanking,24832.07,pending,27.100.127.58,,0
TXN-030B65606A26,USR0083,,2024-03-18T03:27:04,pune,pune,Electronics,DEV-D4B7D544,desktop,Card,83784.75,failed,112.36.35.44,,0
TXN-24828B3B7572,USR0031,Rs 3872,2024-02-22T20:00:18,ahmedabad,pune,Travel,DEV-DD98A064,tablet,UPI,16683.17,success,69.207.211.58,,0
TXN-DE09131B5A54,USR0088,648.075,2024-02-25T01:30:48,pune,kolkata,Food,DEV-56AFD090,mobile,Card,100999.18,success,122.12.184.161,,0
TXN-53E8A5C2BC8A,USR0073,3525.3252175979,2024-03-12T19:55:25,pune,delhi,Gaming,DEV-085B3E2C,desktop,,43226.48,success,214.81.1.21,,0
TXN-293F3B6ECEB4,USR0062,516.6533048902,2024-02-09T01:34:59,mumbai,hyd,Fashion,DEV-3D609C40,mobile,,149878.54,pending,153.249.173.191,9026.7793825592,0
TXN-9B916C095CAD,USR0097,1478.1000019364,2024-01-25T18:27:24,delhi,delhi,Travel,DEV-499208E2,tablet,UPI,173517.79,pending,49.32.46.214,,0
TXN-260A6FD4C676,USR0106,11389.8786991356,2024-04-25T17:25:11,mumbai,ahmedabad,Food,DEV-99264D41,tablet,NetBanking,144941.69,failed,,,0
TXN-F92F98F5E31F,USR0086,12154.8807808024,2024-01-08T19:17:00,chennai,bangalore,Travel,DEV-595839A9,tablet,,,pending,8.133.216.144,,0
TXN-AD7DA17F91D3,USR0016,7941.4642,2024-02-27T05:28:16,chennai,JAI,Fashion,DEV-61767B50,mobile,UPI,194776.33,success,203.9.97.133,,0
TXN-C122CFFDAA26,USR0071,4589.415,2024-02-13T01:26:44,delhi,JAI,Food,DEV-7BB1047D,tablet,Card,8499.84,failed,223.255.85.165,,0
TXN-14EEC63BF0EE,USR0016,5357.1071,2024-02-11T06:48:27,chennai,bangalore,Food,DEV-B6D54959,tablet,Card,85835.02,failed,207.146.186.31,,0
TXN-7EAECC2F1EDB,USR0036,,2024-04-07T16:49:12,ahmedabad,delhi,Travel,DEV-89F8108E,mobile,UPI,73081.78,pending,19.2.104.255,,0
TXN-43C0EF0DA584,USR0095,₹14487,2024-01-30T00:20:50,pune,kolkata,Groceries,DEV-F2D9D2C7,tablet,Card,28863.95,success,,,0
TXN-60E753D3CE8E,USR0005,Rs 1795,2024-02-27T22:22:26,ahmedabad,bangalore,Gaming,DEV-F0DF46EB,mobile,,51570.11,pending,128.235.123.92,,0
TXN-C5F80F610041,USR0052,13139.6609760603,2024-03-22T10:40:38,pune,kolkata,Fashion,DEV-796E2FA2,desktop,NetBanking,101059.89,pending,53.199.173.138,,0
TXN-D01746FDCB32,USR0088,₹9398,2024-01-28T10:48:49,kolkata,delhi,Gaming,DEV-51A5768A,mobile,UPI,161012.2,pending,242.180.70.176,,0
