transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,amt,is_amount_missing,is_device_id_invalid,is_valid_ip,is_amount_outlier
TXN-870AD67A3E42,USR0066,4586.39,2024-01-01 04:25:29.601133,hyderabad,hyderabad,travel,DEV-8583D18F,atm,card,159778.4,failed,192.22.73.156,,False,False,True,False
TXN-53FCAC82384E,USR0065,3.42,2024-01-01 07:25:01.000000,mumbai,mumbai,utilities,CNP-B24F7CEF,atm,card,0.0,success,192.114.114.128,,False,True,True,False
TXN-195D666F2B35,USR0066,5820.48,2024-01-01 14:53:24.843316,hyderabad,hyderabad,travel,,atm,card,153957.92,success,192.22.73.4,,False,True,True,False
TXN-58D62320110C,USR0066,5322.51,2024-01-02 00:00:00.000000,hyderabad,hyderabad,clothing,DEV-8583D...,atm,card,143608.0,success,192.22.73.88,,False,True,True,False
TXN-3E5D9B4179DC,USR0066,5026.421195352125,2024-01-02 05:22:00.000000,hyderabad,hyderabad,healthcare,DEV-437BE229,atm,card,148931.5,success,192.22.73.96,,False,False,True,False
TXN-E6076DCB5782,USR0074,3107.0147776930107,2024-01-02 05:36:41.000000,jaipur,jaipur,food dining,NEW-6DEE2B24,mobile,upi,13624.13,success,167.234.102.181,,False,True,True,False
TXN-4B073E64CA66,USR0011,1178.52,2024-01-02 08:31:00.000000,new york,new york,clothing,DEV-717C56C8,atm,card,0.0,success,24.237.144.20,,False,False,True,False
TXN-51919776B837,USR0039,5450.52,2024-01-02 21:57:12.000000,jaipur,jaipur,entertainment,DEV-FA6637A2,mobile,upi,19702.57,success,192.18.153.121,,False,False,True,False
TXN-F971B434E367,USR0035,8632.83,2024-01-03 11:49:48.000000,hyderabad,hyderabad,cl,DEV-EBE4B397,mobile,wallet,97126.89,success,192.253.100.7,,False,False,True,False
TXN-332807975E3E,USR0035,7462.618957112537,2024-01-03 17:00:46.000000,hyderabad,hyderabad,travel,DEV-EBE4B397,web,wallet,97126.89,failed,192.253.100.100,,False,False,True,False
TXN-9CE6A1E054B0,USR0052,3749.692451735378,2024-01-03 17:10:08.000000,chennai,chennai,c,,mobile,netbanking,164260.73,success,192.175.64.204,,False,True,True,False
TXN-77D187D7874B,USR0061,1298.2614,2024-01-04 03:10:14.000000,hyderabad,hyderabad,grocery,DEV-B60819A7,web,netbanking,130170.76,success,192.111.18.63,,False,False,True,False
TXN-4D5FBC01A8FF,USR0061,819.4590564494981,2024-01-05 13:52:46.000000,hyderabad,hyderabad,clothing,DEV-B60819A7,web,upi,94965.26,success,192.111.18.253,,False,False,True,False
TXN-9489D3890781,USR0061,2959.0,2024-01-05 13:56:11.000000,kolkata,kolkata,travel,DEV-B60819A7,web,card,,success,192.111.18.46,,False,False,True,False
TXN-85E9EF7479A8,USR0014,1202.18,2024-01-05 19:36:56.000000,ahmedabad,ahmedabad,fuel,DEV-46AD051A,atm,netbanking,28469.27,success,192.150.110.34,,False,False,True,False
TXN-D7884CC9F67B,USR0068,1464.432583649821,2024-01-05 21:34:24.278440,hyderabad,hyderabad,electronics,DEV-E82A3776,web,netbanking,11135.8,success,192.107.227.20,,False,False,True,False
TXN-920B0B65B979,USR0018,5521.5,2024-01-06 04:55:50.045999,jaipur,jaipur,unknown,DEV-5A0A15C2,web,card,143570.55,success,192.112.41.183,,False,False,True,False
TXN-57090FAF517D,USR0080,845.5323961569698,2024-01-06 12:43:04.000000,mumbai,kolkata,grocery,NEW-8708BEAA,mobile,card,73524.81,success,193.86.80.51,,False,True,True,False
TXN-92A513504A9A,USR0030,1817.69,2024-01-06 12:45:59.000000,kolkata,kolkata,grocery,DEV-03C732B7,web,netbanking,15809.41,success,192.106.120.135,,False,False,True,False
TXN-87CC3D384050,USR0003,556.0009114232291,2024-01-06 13:10:55.000000,lucknow,lucknow,entertainment,DEV-84955DD2,mobile,unknown,35845.13,success,192.115.151.93,,False,False,True,False
TXN-4229D39100D6,USR0068,1930.13,2024-01-06 20:52:18.296538,hyderabad,hyderabad,clothing,DEV-A5173712,web,upi,8262.18,success,192.107.227.225,,False,False,True,False
TXN-70441265BA2C,USR0013,12924.203936358386,2024-01-06 21:29:11.000000,lucknow,lucknow,electronics,DEV-B1312090,web,upi,21967.35,success,192.227.235.135,,False,False,True,True
TXN-6EFC38867475,USR0015,2945.3829475638486,2024-01-08 09:23:18.000000,new york,new york,entertainment,DEV-9F7F3472,mobile,upi,0.0,success,73.226.21.96,,False,False,True,False
TXN-A61428B5EBB3,USR0068,1360.0,2024-01-08 11:53:33.804506,hyderabad,hyderabad,clothing,DEV-E82A3776,mobile,card,6901.31,success,192.107.227.82,,False,False,True,False
TXN-83CBA9200A17,USR0066,5043.3514287407925,2024-01-09 18:06:00.000000,hyderabad,hyderabad,healthcare,DEV-8384D381,atm,card,143608.0,failed,192.22.73.108,,False,False,True,False
TXN-C658CDEE1D98,USR0076,7613.83,2024-01-09 22:22:00.000000,bengaluru,bengaluru,electronics,,atm,wallet,,success,192.120.107.64,,False,True,True,False
TXN-222986F00717,USR0076,8685.23,2024-01-09 22:23:04.000000,pune,pune,electronics,DEV-81F2A99F,atm,netbanking,0.0,success,192.120.107.73,,False,False,True,False
TXN-BEDBDF42F6CC,USR0076,6872.91,2024-01-09 22:23:34.000000,bengaluru,bengaluru,electronics,DEV-81F2A99F,mobile,netbanking,0.0,success,192.120.107.147,,False,False,True,False
TXN-44F6581B6000,USR0018,4771.0,2024-01-10 00:26:05.631908,jaipur,jaipur,electronics,DEV-A4E6DB8C,web,upi,138798.97,success,999.168.1.1,,False,False,False,False
TXN-D02546F7F397,USR0068,967.0023469279504,2024-01-10 09:53:33.484421,hyderabad,hyderabad,travel,DEV-A5173712,mobile,upi,5934.31,success,192.107.227.246,,False,False,True,False
TXN-312AF5CB0852,USR0068,1678106.56,2024-01-10 13:18:00.000000,hyderabad,hyderabad,fuel,DEV-E82A3776,web,upi,,success,192.107.227.109,,False,False,True,True
TXN-1F07170D7235,USR0018,9368.43,2024-01-11 14:18:09.782119,jaipur,jaipur,electronics,DEV-5A0A15C2,web,upi,122382.82,success,192.112.41.120,,False,False,True,False
TXN-2CE7727D8B0C,USR0068,1493.54,2024-01-11 22:26:57.000000,hyderabad,hyderabad,education,DEV-E82A3776,atm,wallet,3908.43,success,192.107.227.108,,False,False,True,False
TXN-A77AA1B67A6C,USR0045,7457.0,2024-01-12 14:21:55.812064,ahmedabad,ahmedabad,entertainment,DEV-A65DCC48,atm,upi,,failed,192.210.142.70,,False,False,True,False
TXN-A93A5922CD6E,USR0045,4681.6173,2024-01-12 16:09:48.000000,ahmedabad,ahmedabad,electronics,DEV-A65DCC48,atm,upi,137508.67,success,192.210.142.161,,False,False,True,False
TXN-88929D959922,USR0018,7453.693723985646,2024-01-12 17:56:24.000000,jaipur,jaipur,t,D??,web,upi,114929.13,success,192.112.41.219,,False,True,True,False
TXN-2BEDE2FEFE02,USR0068,1623.9423687189128,2024-01-13 01:55:11.000000,hyderabad,hyderabad,food dining,DEV-E82A3776,web,upi,2284.49,success,192.107.227.108,,False,False,True,False
TXN-F489596FF18C,USR0066,6487.846869315082,2024-01-13 02:05:25.137684,hyderabad,hyderabad,fuel,DEV-8384D381,web,card,137120.15,success,192.22.73.184,,False,False,True,False
TXN-ADD4719E8F6D,USR0038,22666.74,2024-01-13 04:33:18.000000,lucknow,lucknow,food dining,DEV-2BCD5E08,web,upi,0.0,success,192.150.123.224,,False,False,True,True
TXN-5629F36D4ED2,USR0066,6887.502166436236,2024-01-13 04:36:51.000000,hyderabad,chennai,grocery,DEV-8384D381,mobile,card,130232.65,success,192.22.73.179,,False,False,True,False
TXN-79796AA3804D,USR0042,3217.0,2024-01-13 09:11:05.000000,new york,new york,education,DEV-F59A2F49,web,netbanking,43159.24,success,243.6.175.174,,False,False,True,False
TXN-8EDE397D2CBC,USR0045,5950.640980841017,2024-01-14 01:02:19.000000,ahmedabad,ahmedabad,entertainment,DEV-154C46AA,atm,netbanking,131558.03,success,192.210.142.176,,False,False,True,False
TXN-AFFDE86FD736,USR0045,4052.5168725171834,2024-01-14 04:39:55.000000,ahmedabad,ahmedabad,fuel,DEV-9C2EA584,atm,unknown,127505.51,success,192.210.142.96,,False,False,True,False
TXN-264C994E713A,USR0045,3744.173982117353,2024-01-14 19:38:27.585088,ahmedabad,ahmedabad,education,DEV-9C2EA584,atm,upi,123761.34,success,192.210.142.213,,False,False,True,False
TXN-48942D94AB43,USR0068,1088.6314,2024-01-14 21:38:10.000000,hyderabad,hyderabad,travel,DEV-E82A3776,web,netbanking,1195.85,success,192.107.227.143,,False,False,True,False
TXN-EF9833AE6064,USR0018,6810.92,2024-01-15 05:16:00.000000,jaipur,jaipur,entertainment,DEV-5A0A15C2,web,card,108118.2,success,192.112.41.24,,False,False,True,False
TXN-7B144EAB5957,USR0078,8077.111454004933,2024-01-15 09:23:06.000000,mumbai,mumbai,healthca,DEV-D52E756E,web,wallet,55152.36,success,,,False,False,False,False
TXN-B4CD123FD672,USR0078,8290.453891272373,2024-01-15 13:56:50.000000,mumbai,mumbai,entertainment,DEV-D52E756E,atm,wallet,46861.9,success,192.192.189.185,8290.453891272373,False,False,True,False
TXN-A45FE7FF38E2,USR0018,5746.935933081269,2024-01-15 23:26:20.000000,chennai,jaipur,education,DEV-A4E6DB8C,mobile,unknown,102371.27,success,192.112.41.104,,False,False,True,False
TXN-4E0F74AD72CD,USR0056,2146.0,2024-01-16 00:00:00.000000,hyderabad,hyderabad,electronics,DEV-B2519C05,atm,netbanking,158270.09,failed,192.58.7.248,,False,False,True,False
TXN-27F0ADA72618,USR0045,9165.478506161786,2024-01-16 05:51:00.000000,ahmedabad,ahmedabad,fuel,DEV-A65DCC48,atm,upi,114595.86,success,192.210.142.194,,False,False,True,False
TXN-CCE5EEDC87E3,USR0018,3741.82,2024-01-16 09:47:19.000000,jaipur,bengaluru,food dining,DEV-5A0A15C2,web,upi,98629.44,success,192.112.41.200,,False,False,True,False
TXN-92FBB895C399,USR0039,8313.71,2024-01-16 14:34:33.000000,jaipur,jaipur,entertainment,NEW-F9888636,mobile,card,11388.86,success,2.244.81.176,,False,True,True,False
TXN-97AD8DD8E136,USR0056,2712.89,2024-01-16 23:57:00.000000,hyderabad,hyderabad,unknown,DEV-B2519C05,mobile,netbanking,160513.64,success,192.58.7.157,,False,False,True,False
TXN-7A63FAA1E536,USR0056,2488.18,2024-01-16 23:59:39.000000,hyderabad,hyderabad,electronics,,mobile,netbanking,158270.09,success,192.58.7.243,,False,True,True,False
TXN-70FF8B6F4DF5,USR0045,2492.0,2024-01-17 04:04:20.062487,bengaluru,bengaluru,clothing,DEV-9C2EA584,atm,upi,,success,192.210.142.93,,False,False,True,False
TXN-D8D5868A640F,USR0015,4527.85,2024-01-17 04:36:40.000000,lucknow,lucknow,electronics,DEV-9F7F3472,mobile,wallet,0.0,success,192.194.13.125,,False,False,True,False
TXN-A8528C9558B0,USR0015,4983.21,2024-01-17 04:37:48.000000,lucknow,chennai,unknown,DEV-9F7F3472,mobile,wallet,0.0,success,192.194.13.73,,False,False,True,False
TXN-1DAB7A645415,USR0015,3821.04,2024-01-17 04:38:07.000000,lucknow,lucknow,electronics,,mobile,wallet,0.0,success,192.194.13.194,,False,True,True,False
TXN-628FF3FE536E,USR0023,4170.929114972607,2024-01-17 12:02:16.000000,chennai,chennai,travel,DEV-58413333,atm,netbanking,17531.49,success,192.197.33.119,,False,False,True,False
TXN-43F975290E48,USR0066,6389.46,2024-01-17 20:54:06.278622,hyderabad,hyderabad,education,DEV-8384D381,web,upi,123843.19,success,192.22.73.43,,False,False,True,False
TXN-F3B15ABBB668,USR0067,45187.66,2024-01-18 04:46:47.000000,jaipur,jaipur,clothing,DEV-1CD3CE9D,atm,unknown,95960.18,success,192.80.58.215,,False,False,True,True
TXN-1DA207CE7E15,USR0064,8.31,2024-01-18 06:09:42.000000,kolkata,kolkata,utilities,CNP-63BF93ED,web,card,125305.72,success,192.141.214.82,,False,True,True,False
TXN-2C0CE0B48F11,USR0066,4313.4981765858065,2024-01-18 14:21:10.206942,hyderabad,hyderabad,food dining,DEV-437BE229,atm,card,119529.69,success,192.22.73.1,,False,False,True,False
TXN-270DFD07DFD7,USR0068,1428.591606147584,2024-01-18 16:58:17.504210,pune,pune,education,DEV-A5173712,mobile,upi,0.0,success,192.107.227.37,,False,False,True,False
TXN-2910CED5B6B3,USR0018,4224.40658917553,2024-01-19 00:15:49.000000,jaipur,jaipur,electronics,DEV,web,unknown,,success,,,False,True,False,False
TXN-F7A3F30D117F,USR0010,4532.0,2024-01-19 03:23:22.000000,dubai,dubai,fuel,DEV-CEE9023E,mobile,netbanking,91059.48,success,150.42.165.115,,False,False,True,False
TXN-98D8250A1FA0,USR0018,2611.0,2024-01-19 08:11:44.668162,jaipur,jaipur,clothing,DEV-5A0A15C2,web,netbanking,91793.94,success,192.112.41.32,,False,False,True,False
TXN-71A3D3C11535,USR0018,4490.3696653367915,2024-01-19 10:03:59.304156,jaipur,jaipur,travel,DEV-A4E6DB8C,web,upi,87303.57,success,192.112.41.98,,False,False,True,False
TXN-7787C9FC1D78,USR0039,11497.202120571128,2024-01-19 15:34:26.284642,jaipur,jaipur,grocery,DEV-FA6637A2,web,upi,97072.39,success,192.18.153.231,,False,False,True,False
TXN-7F46C1F4E912,USR0039,10097.490798591269,2024-01-19 15:36:15.624260,jaipur,jaipur,utilities,DEV-FA6637A2,mobile,upi,97072.39,failed,192.18.153.8,,False,False,True,False
TXN-6CEAD4C2D5C6,USR0066,1504.08,2024-01-19 22:38:10.000000,jaipur,chennai,healthcare,DEV-437BE229,atm,netbanking,118025.61,success,192.22.73.78,,False,False,True,False
TXN-5FFD57AF43E6,USR0078,2716.4873,2024-01-20 01:44:07.693843,mumbai,mumbai,travel,DEV-D52E756E,web,wallet,44145.41,success,192.192.189.123,,False,False,True,False
TXN-4DE5BEF6FBCF,USR0018,3436.5385949925776,2024-01-20 01:47:37.388519,jaipur,jaipur,food dining,DEV-A4E6DB8C,web,upi,87303.57,failed,192.112.41.158,,False,False,True,False
TXN-3C0B0AC85D7C,USR0039,0.0,2024-01-20 09:39:06.000000,jaipur,jaipur,clothing,DEV-FA6637A2,mobile,upi,89525.36,success,192.18.153.55,,False,False,True,False
TXN-BE3ED464983A,USR0045,4068.882663744915,2024-01-20 11:26:40.000000,ahmedabad,ahmedabad,food dining,DEV-154C46AA,atm,upi,108034.72,success,192.210.142.191,,False,False,True,False
TXN-8E42A8957459,USR0023,7918.16,2024-01-20 14:39:03.875039,lucknow,lucknow,grocery,DEV-9D08D512,web,unknown,9613.33,success,192.197.33.30,,False,False,True,False
TXN-45B90EC7642B,USR0023,9788.53,2024-01-20 15:00:00.000000,lucknow,lucknow,entertainment,DEV-58413333,atm,netbanking,9613.33,failed,192.197.33.225,,False,False,True,False
TXN-E71B48B458D2,USR0039,5463.734392874177,2024-01-20 15:02:32.861644,jaipur,jaipur,travel,DEV-FA6637A2,mobile,upi,84061.62,success,192.18.153.224,,False,False,True,False
TXN-5FF777A6B058,USR0039,10010.69,2024-01-20 15:27:45.370059,jaipur,jaipur,fuel,DEV-FA6637A2,web,card,74050.93,success,192.18.153.22,,False,False,True,False
TXN-F1A6E6807087,USR0045,6100.90531717155,2024-01-20 16:24:17.930617,ahmedabad,kolkata,electronics,DEV-A65DCC48,atm,upi,,success,192.210.142.34,,False,False,True,False
TXN-1A87B2A66BDC,USR0045,6985.75,2024-01-20 19:19:05.551503,ahmedabad,ahmedabad,utilities,DEV-154C46AA,atm,upi,94948.07,success,192.210.142.204,,False,False,True,False
TXN-4F70DA513FE6,USR0045,3126.3090862603935,2024-01-20 21:31:03.339912,chennai,chennai,utilities,DEV-9C2EA584,atm,upi,91821.76,success,192.210.142.201,3126.3090862603935,False,False,True,False
TXN-1AEE8FD08F0D,USR0018,10144.350227073515,2024-01-21 00:00:00.000000,jaipur,jaipur,education,DEV-A4E6DB8C,web,upi,,success,192.112.41.36,,False,False,True,False
TXN-EFE77125DFCC,USR0057,4891.433993016959,2024-01-21 01:10:45.000000,hyderabad,lucknow,electronics,DEV-126D0500,web,netbanking,54436.16,success,192.165.131.110,,False,False,True,False
TXN-7B07B1A7473D,USR0066,7823.0,2024-01-21 03:33:18.000000,hyderabad,hyderabad,healthcare,DEV-8583D18F,atm,card,118025.61,failed,192.22.73.164,,False,False,True,False
TXN-FCBCDEAC17EE,USR0067,4712.88,2024-01-21 15:34:00.000000,jaipur,jaipur,clothing,DEV-??,mobile,card,101804.48,success,192.80.58.123,,False,True,True,False
TXN-F259B28E92D8,USR0057,2501.1614464128616,2024-01-21 16:07:01.485998,hyderabad,hyderabad,grocery,DEV-126D0500,web,netbanking,,success,136.174.x.78,,False,False,False,False
TXN-FD06DADDE131,USR0078,5050.0,2024-01-22 00:02:00.000000,mumbai,mumbai,clothing,DEV-16879C69,atm,wallet,39095.21,success,192.192.189.152,,False,False,True,False
TXN-DD6B2C3C02CA,USR0018,8192.82962605025,2024-01-22 01:37:26.000000,jaipur,jaipur,entertainment,,atm,upi,68966.39,success,192.112.41.140,,False,True,True,False
TXN-825834814FB9,USR0042,24915.57,2024-01-22 15:32:14.000000,pune,pune,clothing,DEV-C99E4D4E,atm,netbanking,39958.2,success,192.81.238.76,,False,False,True,True
TXN-741CBDA1F824,USR0078,7241.415748364908,2024-01-22 17:12:54.000000,mumbai,mumbai,utilities,DEV-D52E756E,mobile,wallet,31853.8,success,192.192.189.127,,False,False,True,False
TXN-A20AFCC1D4CC,USR0057,2269.45,2024-01-23 00:40:18.000000,hyderabad,hyderabad,utilities,DEV-126D0500,web,unknown,51935.0,failed,192.165.131.108,,False,False,True,False
TXN-F47EC09DF5B2,USR0023,5187.524953917471,2024-01-23 03:44:25.000000,lucknow,lucknow,clothing,DEV-9D08D512,atm,upi,,success,192.197.33.214,,False,False,True,False
TXN-2D65BB962AC2,USR0039,9244.02,2024-01-23 14:16:55.087471,jaipur,jaipur,clothing,DEV-FA6637A2,mobile,upi,64806.92,success,192.18.153.109,,False,False,True,False
TXN-6476C8D5329B,USR0078,2588.729887983136,2024-01-23 19:27:51.000000,mumbai,mumbai,travel,DEV-D52E756E,atm,wallet,29265.07,success,192.192.189.194,,False,False,True,False
TXN-3E5EDDCDA82C,USR0078,7616.4904023432655,2024-01-23 21:00:23.000000,mumbai,mumbai,electronics,DEV-16879C69,atm,wallet,29265.07,pending,192.192.189.226,,False,False,True,False
TXN-5E3C6AE8DE97,USR0057,4165.85,2024-01-23 21:50:37.000000,hyderabad,hyderabad,unknown,DEV-126D0500,web,netbanking,47769.15,success,192.165.131.112,,False,False,True,False
TXN-622C60877A7E,USR0068,2219.0,2024-01-24 01:27:36.574567,hyderabad,hyderabad,travel,DEV-E82A3776,web,upi,0.0,success,192.107.227.192,,False,False,True,False
TXN-4B73287B81C3,USR0067,3760.0030348313594,2024-01-24 04:24:00.000000,jaipur,jaipur,edu,DEV-1CD3CE9D,atm,card,98044.48,success,192.80.58.178,,False,False,True,False
TXN-D8EB9D0A6560,USR0039,11255.540014298618,2024-01-24 07:45:57.000000,jaipur,jaipur,education,DEV-FA6637A2,mobile,upi,53551.38,success,192.18.153.217,,False,False,True,False
TXN-6DB0D8545168,USR0067,1344.1439599588498,2024-01-24 09:08:00.000000,jaipur,jaipur,travel,DEV-1CD3CE9D,atm,card,98044.48,failed,192.80.58.227,,False,False,True,False
TXN-25B086FECEEF,USR0057,2133.6926886000483,2024-01-24 11:15:51.199283,hyderabad,hyderabad,grocery,DEV-126D0500,web,netbanking,45635.46,success,192.165.131.88,,False,False,True,False
TXN-DD6A1A2C6C24,USR0078,8250.414025637241,2024-01-24 12:22:04.429838,mumbai,mumbai,healthcare,DEV-D52E756E,atm,wallet,21014.65,success,192.192.189.227,,False,False,True,False
TXN-9C1BB1BA07A0,USR0068,1833.4248700608612,2024-01-24 18:31:20.320098,kolkata,kolkata,utilities,DEV-A5173712,web,upi,0.0,success,192.107.227.149,,False,False,True,False
