transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,amt,is_fraud,is_amount_missing,is_device_id_invalid,is_valid_ip,is_amount_outlier
TXN-9CE68452C8E5,USR00008,8832.7035,2023-12-20 10:19:20,hyderabad,jaipur,food,DEV-B9C9CA45,unknown,upi,51712.64,failed,159.248.149.131,,1,False,False,True,False
TXN-DAB1F099ADB6,USR00080,5196.36,2023-12-20 12:10:25,mumai,pune,groceries,DEV-6ED41693,moble,card,14903.9,success,141.90.241.221,,0,False,False,True,False
TXN-C1C3E709E302,USR00213,6557.5067802,2023-12-20 13:10:00,ahmedabad,jaipur,food,DEV-8CBF795F,unknown,card,233630.11,success,,,0,False,False,False,False
TXN-93FC92716C0E,USR00354,18840.5848,2023-12-20 13:10:46,ahmedabad,mumai,elec,DEV-62AA5881,desktop,netbanking,283179.54,success,154.179.29.5,,0,False,False,True,False
TXN-3DB788F3368F,USR00389,-444.97,2023-12-20 13:53:44,mumai,ahmedabad,elec,DEV-FA26CDFA,tablet,card,212979.41,success,171.252.119.107,,0,False,False,True,False
TXN-F507D7C60003,USR00127,18306.6367,2023-12-20 15:17:44,chennai,delh,unknown,DEV-569BFDBB,desktop,card,287232.13,success,129.248.185.179,,0,False,False,True,False
TXN-FAE527ECE0A0,USR00274,610.0,2023-12-20 15:29:36,mumai,delh,trav,DEV-F5E09B3A,desktop,card,,success,240.16.9.215,,1,False,False,True,False
TXN-C8D25CE52847,USR00361,3012.9753,2023-12-20 15:36:27,jaipur,kolkata,travel,DEV-8A2687EF,tablet,card,175037.15,success,141.245.219.208,,1,False,False,True,False
TXN-4F0D697289BD,USR00053,4762.1467,2023-12-20 15:44:27,ahmedabad,delhi,unknown,DEV-2FC554B5,desktop,upi,51661.2,failed,17.111.168.226,,0,False,False,True,False
TXN-A7590EBD5F59,USR00294,16530.0608,2023-12-20 16:53:31,jaipur,chennai,elec,DEV-D40A08B9,desktop,netbanking,192272.42,pending,234.72.5.68,,0,False,False,True,False
TXN-50A89A3A20FD,USR00298,2775.99,2023-12-20 16:59:27,chennai,hyderabad,food,DEV-D9E65820,unknown,upi,232496.65,failed,211.224.151.129,,0,False,False,True,False
TXN-3C24AF2E1D38,USR00085,13711.8253,2023-12-20 17:08:00,mumbai,delhi,groceries,DEV-3A23B40A,desktop,unknown,216630.89,success,110.187.55.252,,0,False,False,True,False
TXN-DD5A1A4B09AD,USR00232,,2023-12-20 17:08:00,jaipur,ahmedabad,unknown,DEV-7BC7D523,tablet,wallet,180283.13,failed,96.178.170.208,,0,True,False,True,False
TXN-00874DDB97C3,USR00392,7151.25106745,2023-12-20 17:30:53,delh,pune,electronics,DEV-6CB01495,unknown,upi,193395.94,failed,1.149.17.200,,1,False,False,True,False
TXN-8BE8B8AF849B,USR00396,8230.37945383,2023-12-20 17:35:33,delhi,hyderabad,unknown,DEV-C1B99999,desktop,card,25286.48,success,84.158.242.148,,1,False,False,True,False
TXN-27C64734E86B,USR00274,,2023-12-20 17:48:44,hyderabad,mumbai,electronics,DEV-78CA922D,unknown,netbanking,65746.9,success,212.249.127.71,,0,True,False,True,False
TXN-7FDD8DB1E1DC,USR00132,,2023-12-20 18:21:00,mumbai,bengaluru,fashion,DEV-146FB4B8,mobile,card,193884.95,pending,219.212.89.213,,0,True,False,True,False
TXN-9805776B5619,USR00365,12410.0,2023-12-20 18:49:25,delhi,jaipur,unknown,DEV-270E2427,moble,upi,,failed,216.66.163.114,,0,False,False,True,False
TXN-D537466EE4BB,USR00269,,2023-12-20 19:25:22,ahmedabad,chennai,elec,DEV-9B743C9A,mobile,upi,-1912.5,failed,181.204.202.107,,0,True,False,True,False
TXN-DA84E5A76E4E,USR00233,15501.93775008,2023-12-20 21:44:35,pune,bengaluru,electronics,,unknown,unknown,98859.03,success,9.61.168.228,8440.0,0,False,True,True,False
TXN-4F7B6ED1ED28,USR00307,12202.39,2023-12-20 21:47:11,pune,delhi,groceries,DEV-148D43E3,tablet,card,190358.88,pending,154.65.55.145,116.0,0,False,False,True,False
TXN-1710F09649D4,USR00043,15757.74,2023-12-20 22:15:50,hyderabad,delhi,elec,DEV-A9B231F7,unknown,upi,88398.46,failed,148.51.79.95,,0,False,False,True,False
TXN-508AA285177E,USR00125,19295.0158616,2023-12-20 22:44:37,kolkata,chennai,travel,DEV-4ABAB08A,mobile,wallet,,failed,130.148.211.73,,0,False,False,True,False
TXN-4F754DBD1F4A,USR00027,,2023-12-20 23:00:47,jaipur,delh,elec,DEV-1EC2CF1A,mobile,unknown,201674.44,success,42.191.18.141,,1,True,False,True,False
TXN-FF8369BA6FBE,USR00352,6016.0,2023-12-20 23:12:42,delh,kolkata,electronics,DEV-9D302AAD,tablet,wallet,127928.27,pending,100.135.74.86,,1,False,False,True,False
TXN-C6F31975E3A7,USR00301,17790.0,2023-12-20 23:34:00,chennai,mumai,trav,,tablet,upi,73213.96,success,19.157.147.192,,1,False,True,True,False
TXN-06F4768926AE,USR00011,8946.44486978,2023-12-21 00:07:08,hyderabad,chennai,trav,DEV-8964FC55,desktop,upi,,pending,229.199.19.43,,0,False,False,True,False
TXN-61C6DAED8E76,USR00350,,2023-12-21 00:22:00,kolkata,mumbai,gaming,DEV-A342A36E,moble,unknown,266856.17,failed,192.9.214.76,,0,True,False,True,False
TXN-873A41BBCA0B,USR00101,2350.8223,2023-12-21 01:53:00,delh,pune,food,DEV-DBF1403A,unknown,netbanking,176225.0,failed,202.175.122.252,,0,False,False,True,False
TXN-ABCA878B839B,USR00290,,2023-12-21 01:58:14,pune,mumbai,trav,DEV-500D6066,moble,upi,54164.74,pending,,,0,True,False,False,False
TXN-3E192AED2B12,USR00004,,2023-12-21 02:09:32,kolkata,delh,elec,DEV-C9E5948E,moble,upi,116086.65,success,76.218.224.10,,1,True,False,True,False
TXN-574151B90BBE,USR00353,,2023-12-21 03:03:54,pune,chennai,elec,DEV-E64F7454,tablet,wallet,104153.27,success,176.120.170.203,,0,True,False,True,False
TXN-BDDFB38DAFF7,USR00008,,2023-12-21 03:22:46,bengaluru,delhi,unknown,DEV-76EAFD6A,tablet,card,198754.09,pending,186.140.206.25,,0,True,False,True,False
