transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,amt,is_fraud,is_amount_missing,is_device_id_invalid,is_valid_ip,is_amount_outlier
TXN-7B9A28A2C911,USR0109,11638.0,2024-01-01 00:33:52,bengaluru,delhi,fashion,DEV-AD433A74,desktop,netbanking,75317.41,pending,157.44.157.31,,1,False,False,True,False
TXN-710E7EBE574C,USR0029,,2024-01-01 01:26:40,bengaluru,chennai,electronics,DEV-ACE51412,mobile,upi,177871.17,failed,96.87.102.101,,0,True,False,True,False
TXN-3D767F546B7B,USR0114,116.4025047568,2024-01-01 02:08:24,delhi,delhi,electronics,DEV-2CE53BFC,tablet,unknown,,success,26.249.22.229,,0,False,False,True,False
TXN-23DFB9E1F084,USR0087,5651.0,2024-01-01 03:18:40,chennai,jaipur,unknown,DEV-8AF5C266,mobile,card,170112.98,success,118.30.201.49,,0,False,False,True,False
TXN-6E9464744DD1,USR0059,604.4417,2024-01-01 03:20:55,hyderabad,bengaluru,electronics,,mobile,upi,32567.4,failed,51.101.61.197,,0,False,True,True,False
TXN-BBBDDB4950DE,USR0049,9598.6816,2024-01-01 05:17:50,pune,hyderabad,electronics,DEV-186BE499,tablet,card,52317.09,success,66.46.90.199,,0,False,False,True,False
TXN-E4341739A1F3,USR0065,,2024-01-01 08:58:00,jaipur,kolkata,unknown,DEV-A638A89E,mobile,wallet,79494.29,failed,92.26.138.159,,1,True,False,True,False
TXN-C8DC8E188589,USR0010,13055.5288,2024-01-01 09:14:18,pune,delhi,fashion,DEV-620E2FEF,desktop,netbanking,57736.58,failed,,,0,False,False,False,False
TXN-FCE842CB1E4B,USR0032,9674.7470764727,2024-01-01 10:32:02,hyderabad,hyderabad,gaming,DEV-08CF09DD,tablet,wallet,135220.5,success,198.249.205.192,,0,False,False,True,False
TXN-E487DD891E93,USR0104,12503.3,2024-01-01 13:05:30,ahmedabad,mumbai,electronics,DEV-F8556952,mobile,wallet,160675.7,pending,101.163.203.137,,0,False,False,True,False
TXN-A4BB56F687CB,USR0054,13811.0,2024-01-01 15:26:00,jaipur,kolkata,unknown,DEV-27CF2DC0,tablet,card,22223.14,success,63.234.186.220,,0,False,False,True,False
TXN-55319A3C6150,USR0045,1034.31,2024-01-01 17:38:03,kolkata,hyderabad,gaming,DEV-B3403594,tablet,unknown,163458.05,pending,13.194.6.51,,0,False,False,True,False
TXN-ED42BB033F6B,USR0009,8697.0,2024-01-01 17:43:40,ahmedabad,ahmedabad,food,DEV-56057B4F,desktop,unknown,48888.62,pending,146.135.250.150,,1,False,False,True,False
TXN-AD0EA4CAB1FB,USR0009,9336.3731794248,2024-01-01 19:55:00,chennai,chennai,fashion,DEV-CAE86365,desktop,unknown,88239.54,success,17.32.158.61,,0,False,False,True,False
TXN-29835E560236,USR0035,8368.32,2024-01-01 21:48:51,hyderabad,pune,fashion,DEV-4AF9F7CC,tablet,card,51136.82,success,40.108.221.204,,0,False,False,True,False
TXN-5B725C6554BE,USR0115,,2024-01-01 22:18:49,mumbai,hyderabad,electronics,DEV-DBBDAE24,tablet,upi,,failed,103.46.158.52,,0,True,False,True,False
TXN-BFA6F20E09FE,USR0002,9606.8138635696,2024-01-01 22:38:08,delhi,mumbai,food,DEV-6742E67F,mobile,card,91183.4,pending,51.112.133.154,,0,False,False,True,False
TXN-D643EDE99ADE,USR0005,2687.0,2024-01-02 03:09:24,hyderabad,ahmedabad,groceries,DEV-F6AE410C,tablet,unknown,194474.53,pending,194.224.54.152,,0,False,False,True,False
TXN-7092A9149FDC,USR0093,12447.5939055974,2024-01-02 04:12:09,jaipur,ahmedabad,gaming,DEV-A7A01172,mobile,netbanking,143580.11,pending,22.195.210.197,,0,False,False,True,False
TXN-658BF15F9501,USR0004,2419.76,2024-01-02 04:22:59,chennai,ahmedabad,gaming,DEV-41118611,desktop,card,37931.93,pending,191.90.212.103,,0,False,False,True,False
TXN-F290661E90F2,USR0078,3528.3577,2024-01-02 04:53:59,ahmedabad,mumbai,travel,DEV-97FFCF68,mobile,card,108299.34,failed,229.94.56.225,,0,False,False,True,False
TXN-CAD86F5D27E9,USR0082,10332.52,2024-01-02 07:24:57,pune,mumbai,unknown,DEV-7820DA43,mobile,netbanking,61342.54,failed,142.169.218.60,,0,False,False,True,False
TXN-D1695F1CBC79,USR0002,2563.47,2024-01-02 08:34:14,kolkata,ahmedabad,unknown,,desktop,unknown,99020.2,success,227.86.20.220,,0,False,True,True,False
TXN-A5F037E539C1,USR0031,7403.1259580556,2024-01-02 11:42:49,bengaluru,hyderabad,gaming,DEV-FDAF9825,mobile,netbanking,,pending,205.163.19.105,,0,False,False,True,False
TXN-CE8381E80611,USR0022,7839.0,2024-01-02 13:53:03,bengaluru,delhi,electronics,DEV-345E0A31,mobile,netbanking,181075.99,failed,213.99.142.18,,0,False,False,True,False
TXN-9A099832DA03,USR0081,5978.8941,2024-01-02 14:13:18,mumbai,chennai,travel,DEV-354599DC,tablet,card,25181.25,pending,156.50.194.174,14682.05,1,False,False,True,False
TXN-83979C4B0D66,USR0016,,2024-01-02 17:54:20,pune,delhi,groceries,DEV-F92CF16E,tablet,wallet,90401.64,pending,175.91.246.39,,0,True,False,True,False
TXN-324D0984510A,USR0092,8113.896149344,2024-01-02 20:53:31,delhi,mumbai,gaming,DEV-3490D7D3,tablet,wallet,175224.0,failed,104.69.196.10,,0,False,False,True,False
TXN-AB4D215D854E,USR0004,11784.5144,2024-01-02 23:34:42,mumbai,bengaluru,electronics,DEV-242B77C3,mobile,unknown,169025.81,failed,43.248.31.247,,0,False,False,True,False
TXN-C5174D74FD6F,USR0032,8414.32,2024-01-03 01:50:36,jaipur,pune,food,DEV-8E185470,desktop,netbanking,122305.99,pending,40.211.217.94,,0,False,False,True,False
TXN-9095C7591C00,USR0025,3013.200536163,2024-01-03 01:56:47,bengaluru,kolkata,electronics,DEV-99B84B5D,tablet,card,182143.63,failed,119.193.206.95,,0,False,False,True,False
TXN-BB2E00C5F55E,USR0095,12301.81,2024-01-03 07:57:45,delhi,pune,groceries,,tablet,wallet,31205.47,pending,87.66.79.68,,0,False,True,True,False
TXN-834CF854372C,USR0027,1220.13,2024-01-03 10:16:31,jaipur,ahmedabad,gaming,DEV-824925FF,tablet,upi,33709.67,pending,156.60.2.37,,0,False,False,True,False
TXN-1DF9E60103E4,USR0057,5573.0,2024-01-03 13:11:06,bengaluru,bengaluru,groceries,DEV-2A61AED9,desktop,card,128220.37,failed,208.133.150.107,9543.54,0,False,False,True,False
TXN-FCAAC387BBFF,USR0072,13697.0,2024-01-03 17:12:02,kolkata,pune,groceries,DEV-0307F2A8,mobile,unknown,77746.0,failed,107.15.102.218,,0,False,False,True,False
TXN-CA7E49C12333,USR0028,11592.5473,2024-01-03 17:32:47,kolkata,chennai,groceries,DEV-3F3047F6,tablet,wallet,7643.63,success,125.135.101.242,,0,False,False,True,False
TXN-4ED604A1F389,USR0026,8613.4656,2024-01-03 20:06:27,ahmedabad,jaipur,travel,DEV-81F1E167,mobile,card,108830.73,failed,80.244.95.113,11156.4635809373,1,False,False,True,False
TXN-E90FA66A293E,USR0065,12456.0,2024-01-04 00:01:40,chennai,jaipur,food,DEV-0A8D76DC,mobile,upi,119641.98,failed,116.160.118.176,,0,False,False,True,False
TXN-102A036846D4,USR0115,5593.788931877,2024-01-04 03:28:52,kolkata,ahmedabad,unknown,DEV-4F0629EA,desktop,upi,158209.51,success,136.22.86.169,,0,False,False,True,False
TXN-344FCA0CD579,USR0024,2349.5546132281,2024-01-04 03:57:41,chennai,jaipur,electronics,DEV-774F5B64,mobile,unknown,86932.57,success,73.29.115.229,,0,False,False,True,False
TXN-D27FC5BAC450,USR0080,14751.0156139006,2024-01-04 05:14:30,pune,chennai,unknown,DEV-91A67699,desktop,netbanking,187324.99,pending,238.55.40.175,,0,False,False,True,False
TXN-31258ADD4215,USR0025,13659.68,2024-01-04 05:36:13,delhi,mumbai,unknown,DEV-09CB757C,tablet,upi,171882.71,pending,152.228.48.26,13659.68,0,False,False,True,False
TXN-9296EED3E21C,USR0040,12120.09,2024-01-04 08:56:19,kolkata,hyderabad,electronics,DEV-9A187AB1,mobile,unknown,102739.37,failed,197.249.194.255,,0,False,False,True,False
TXN-A0B00142AB2A,USR0037,4743.35,2024-01-04 10:45:49,mumbai,hyderabad,food,DEV-20219DCB,desktop,upi,97943.71,failed,121.140.243.214,,0,False,False,True,False
TXN-9FBC4201D25B,USR0108,1712.1628370791,2024-01-04 12:13:37,ahmedabad,mumbai,fashion,DEV-1FB3FA6A,mobile,wallet,69311.01,pending,12.148.155.184,,0,False,False,True,False
TXN-6F7D554493D0,USR0053,1488.0,2024-01-04 15:50:08,ahmedabad,bengaluru,electronics,DEV-E2A2E000,tablet,unknown,137678.91,success,27.56.165.140,,0,False,False,True,False
TXN-B9A003AB9721,USR0057,6852.979,2024-01-04 19:59:03,jaipur,hyderabad,electronics,DEV-C46A335F,mobile,card,13211.27,success,218.166.250.20,,0,False,False,True,False
TXN-8308F788D2CA,USR0002,,2024-01-04 21:19:34,jaipur,jaipur,unknown,DEV-EA666488,mobile,card,54078.79,success,,,0,True,False,False,False
TXN-174989848E40,USR0003,,2024-01-04 21:59:41,jaipur,delhi,fashion,DEV-165BBAA0,desktop,netbanking,146194.74,success,145.54.232.219,,0,True,False,True,False
TXN-DAB531731C7C,USR0022,11474.0,2024-01-04 22:13:32,chennai,mumbai,unknown,DEV-4BD0D4A0,mobile,upi,165519.23,success,23.177.182.252,,0,False,False,True,False
TXN-BB0ED6030D16,USR0063,9100.7922,2024-01-04 22:27:11,bengaluru,kolkata,electronics,DEV-E0E51D37,mobile,card,63543.84,pending,67.205.175.158,,0,False,False,True,False
TXN-5C05C3A31B3D,USR0026,6582.6055931096,2024-01-04 22:27:46,kolkata,delhi,fashion,DEV-71883C1B,desktop,netbanking,65359.18,pending,241.169.140.245,9487.7066,0,False,False,True,False
TXN-8E78A2EB19B4,USR0056,7238.763,2024-01-04 22:29:09,pune,kolkata,groceries,DEV-876F2E21,mobile,wallet,194518.64,success,241.61.154.153,,0,False,False,True,False
TXN-0C03F614F5FA,USR0088,3756.21,2024-01-04 23:11:02,ahmedabad,delhi,electronics,DEV-D0FC60D9,tablet,card,116126.72,pending,43.137.182.251,,0,False,False,True,False
TXN-01B4795E589C,USR0077,12384.0377,2024-01-05 00:00:21,delhi,jaipur,fashion,DEV-DC4DD861,mobile,wallet,28925.47,failed,157.5.118.246,,0,False,False,True,False
TXN-F9FEA582465C,USR0072,3533.27,2024-01-05 02:46:34,delhi,delhi,fashion,DEV-519C8F43,desktop,unknown,4134.44,pending,84.105.33.23,,0,False,False,True,False
TXN-13B1B5DCE46A,USR0094,14356.35,2024-01-05 03:21:54,ahmedabad,bengaluru,food,DEV-54B15177,desktop,unknown,89739.17,failed,15.118.31.34,,0,False,False,True,False
TXN-7EAC711AA16C,USR0031,7744.0,2024-01-05 05:44:49,chennai,pune,gaming,DEV-CC1CB8F3,desktop,upi,123773.13,success,97.213.153.252,11911.19,0,False,False,True,False
TXN-D650624EC3CC,USR0044,6495.0,2024-01-05 06:01:08,chennai,bengaluru,gaming,DEV-9932C10E,tablet,upi,6533.43,pending,201.171.235.53,,0,False,False,True,False
TXN-4F82FA1B6160,USR0056,3656.0,2024-01-05 06:29:52,kolkata,chennai,food,DEV-5FBF710A,tablet,upi,193850.68,failed,11.18.218.135,,1,False,False,True,False
TXN-AA31A72CDC7C,USR0070,7731.33,2024-01-05 07:20:40,chennai,hyderabad,travel,DEV-FA38CB2B,tablet,upi,37500.44,success,113.255.117.71,,0,False,False,True,False
TXN-D4E110EF51C5,USR0120,12075.6301,2024-01-05 08:18:23,chennai,pune,groceries,DEV-3E5CA7BD,desktop,netbanking,126453.17,failed,204.80.170.79,,1,False,False,True,False
TXN-E1D9008A9F64,USR0035,11707.5258,2024-01-05 09:56:06,jaipur,mumbai,fashion,DEV-4C0E22DA,desktop,unknown,41425.49,success,155.86.246.21,14216.3387739293,0,False,False,True,False
TXN-B6A862E0AC62,USR0078,11275.19,2024-01-05 10:28:55,chennai,mumbai,electronics,DEV-454C71DD,tablet,upi,18295.29,success,70.45.69.75,,0,False,False,True,False
TXN-9C947D98DA2E,USR0074,11826.0,2024-01-05 13:39:38,ahmedabad,ahmedabad,gaming,DEV-9BC5643F,desktop,upi,79350.85,success,161.138.225.205,,0,False,False,True,False
TXN-BD415D51D3DA,USR0024,765.2663,2024-01-05 14:39:16,jaipur,kolkata,fashion,DEV-E5BB0D98,mobile,card,125214.58,pending,143.165.30.139,,0,False,False,True,False
TXN-62484B8122BF,USR0097,,2024-01-05 17:46:07,ahmedabad,kolkata,food,DEV-7E576307,mobile,upi,41910.63,success,44.115.185.116,,0,True,False,True,False
TXN-6B5FC3186F95,USR0057,9585.0,2024-01-05 19:41:29,ahmedabad,pune,travel,DEV-A30A29A3,tablet,card,24780.29,pending,95.59.164.64,,0,False,False,True,False
TXN-F234A8831E2B,USR0089,222.9373,2024-01-05 20:36:13,chennai,delhi,travel,DEV-6FABCA4C,desktop,wallet,,failed,8.135.249.26,,0,False,False,True,False
TXN-7AB697A8CA84,USR0034,6591.0,2024-01-05 22:34:36,pune,kolkata,unknown,DEV-55AEEAA9,desktop,card,40876.06,success,160.155.119.190,,0,False,False,True,False
TXN-AA222A66ADBF,USR0095,7346.8705121314,2024-01-06 07:47:59,pune,ahmedabad,food,DEV-A26C30C7,desktop,unknown,122983.67,pending,161.61.134.149,,0,False,False,True,False
TXN-A6FA5D213320,USR0016,,2024-01-06 15:45:30,kolkata,bengaluru,gaming,DEV-37212447,mobile,unknown,81056.0,success,223.130.126.117,,0,True,False,True,False
TXN-59F0F7D51A54,USR0007,11793.0,2024-01-06 15:47:55,delhi,ahmedabad,food,DEV-4B3BDA74,desktop,wallet,54529.11,failed,182.83.179.130,,0,False,False,True,False
TXN-9A2B64D5A6E2,USR0079,516.4823,2024-01-06 18:40:37,chennai,pune,groceries,DEV-B126CFC0,tablet,card,29082.72,pending,55.159.49.227,,0,False,False,True,False
TXN-EF98B72169A1,USR0093,9740.37,2024-01-06 22:44:40,ahmedabad,delhi,food,DEV-F2B3EC09,mobile,wallet,85227.46,success,142.122.220.150,,0,False,False,True,False
TXN-7B1D150771D6,USR0091,2818.8887,2024-01-07 02:10:17,pune,delhi,groceries,DEV-A72D17F2,desktop,wallet,178357.08,success,200.210.217.146,13834.0,0,False,False,True,False
TXN-411784A40A15,USR0063,4091.11,2024-01-07 02:55:59,mumbai,jaipur,fashion,DEV-CF607010,tablet,unknown,155561.25,pending,194.153.22.169,,0,False,False,True,False
TXN-E1AAD567A598,USR0054,9000.907407128,2024-01-07 03:18:50,bengaluru,bengaluru,gaming,DEV-53F1C564,mobile,card,48703.5,failed,83.245.57.219,,0,False,False,True,False
TXN-5B8FEA3670A0,USR0043,3944.760401202,2024-01-07 03:35:14,bengaluru,pune,unknown,DEV-D754AFDB,desktop,upi,67681.72,failed,54.89.229.6,,0,False,False,True,False
TXN-0B8D7C35175B,USR0082,10636.9947944832,2024-01-07 05:30:25,pune,jaipur,gaming,DEV-9878BD05,desktop,card,104818.44,success,153.161.239.57,,0,False,False,True,False
TXN-51945C4506DD,USR0083,4920.22,2024-01-07 06:28:00,ahmedabad,mumbai,unknown,DEV-0374800C,mobile,wallet,109528.1,failed,130.82.173.215,,0,False,False,True,False
TXN-AC785F7DACA2,USR0018,8720.3699930435,2024-01-07 06:32:26,chennai,bengaluru,fashion,DEV-1142EBC7,desktop,unknown,185828.98,success,128.221.191.171,9050.0,0,False,False,True,False
TXN-70D0E45ED87A,USR0054,,2024-01-07 08:10:19,kolkata,jaipur,groceries,DEV-A62A2B61,tablet,wallet,155529.45,success,109.3.39.236,,0,True,False,True,False
TXN-773E65A43C19,USR0022,6780.4180021198,2024-01-07 09:48:47,ahmedabad,chennai,gaming,DEV-F2778A59,tablet,wallet,156548.12,success,80.143.163.26,,0,False,False,True,False
TXN-347F1FD7B968,USR0043,,2024-01-07 10:10:54,bengaluru,ahmedabad,groceries,DEV-2A7A266B,desktop,card,36976.92,pending,247.245.157.110,,1,True,False,True,False
TXN-F1A5D8218054,USR0103,6286.9579,2024-01-07 11:36:31,bengaluru,kolkata,electronics,DEV-78A45D9D,desktop,card,188276.5,success,194.222.90.61,,0,False,False,True,False
TXN-D083C60E7D8A,USR0008,5166.0,2024-01-07 12:16:26,delhi,ahmedabad,food,,tablet,wallet,97906.96,success,136.243.235.84,,0,False,True,True,False
TXN-983FF944C876,USR0040,11996.1294273367,2024-01-07 13:48:59,ahmedabad,ahmedabad,fashion,DEV-ABAD16D6,tablet,card,75970.12,pending,225.107.254.218,,1,False,False,True,False
TXN-65FB24C04CBC,USR0040,13852.5202,2024-01-07 16:53:37,ahmedabad,ahmedabad,fashion,DEV-2BD1F9B6,tablet,upi,84030.65,success,117.1.243.129,,0,False,False,True,False
TXN-EE3A74BC6D4E,USR0005,5636.0870563915,2024-01-07 17:00:41,delhi,mumbai,travel,DEV-61B21AC1,mobile,netbanking,50548.73,pending,123.245.195.215,,0,False,False,True,False
TXN-14C0208BDFF6,USR0095,3300.0,2024-01-07 17:35:23,jaipur,hyderabad,unknown,DEV-50C55188,mobile,unknown,126450.29,failed,198.230.86.120,,0,False,False,True,False
TXN-9E024E284066,USR0067,13206.71,2024-01-07 17:52:18,ahmedabad,hyderabad,travel,DEV-6F8BB663,mobile,card,,pending,,,0,False,False,False,False
TXN-3DBF935C1C5B,USR0119,3167.22,2024-01-07 21:02:06,chennai,pune,travel,DEV-D6ACD7BE,mobile,upi,108273.12,pending,110.2.214.179,,0,False,False,True,False
TXN-526855B882A6,USR0047,14118.7564,2024-01-08 00:48:30,hyderabad,delhi,groceries,DEV-C35664EE,mobile,netbanking,31288.51,failed,218.221.136.205,,0,False,False,True,False
TXN-1D0488D6240C,USR0005,4135.2,2024-01-08 03:27:43,kolkata,chennai,food,,mobile,unknown,167082.81,pending,11.138.111.207,,1,False,True,True,False
TXN-791C8F151BC5,USR0062,3192.0,2024-01-08 12:14:37,hyderabad,jaipur,groceries,DEV-E7E53FBD,mobile,card,75219.78,failed,,,0,False,False,False,False
TXN-F725915F9AEB,USR0065,319.0,2024-01-08 13:29:53,jaipur,hyderabad,unknown,DEV-38200D90,mobile,card,190982.46,failed,166.21.75.48,,0,False,False,True,False
TXN-AF4C74F5D315,USR0081,12353.5212121266,2024-01-08 13:58:02,mumbai,ahmedabad,electronics,DEV-80354571,desktop,card,115183.31,pending,221.73.127.227,,1,False,False,True,False
TXN-5A0F27AFBE25,USR0058,5117.0,2024-01-08 15:45:15,mumbai,pune,groceries,DEV-657C3BF8,mobile,upi,189665.7,pending,84.82.186.133,,0,False,False,True,False
TXN-F92F98F5E31F,USR0086,12154.8807808024,2024-01-08 19:17:00,chennai,bengaluru,travel,DEV-595839A9,tablet,unknown,,pending,8.133.216.144,,0,False,False,True,False
TXN-DD2802F8EAB6,USR0084,,2024-01-08 22:57:03,pune,bengaluru,gaming,DEV-0105FD41,mobile,card,95583.39,pending,102.199.148.66,,0,True,False,True,False
TXN-28E7EBE2E7FB,USR0045,1830.78,2024-01-08 23:52:21,ahmedabad,ahmedabad,fashion,DEV-049033B3,desktop,unknown,165970.5,pending,21.160.40.206,,0,False,False,True,False
TXN-38B397CA1DD7,USR0076,6072.459,2024-01-09 01:18:05,hyderabad,ahmedabad,travel,DEV-5638810B,desktop,unknown,135834.44,pending,129.35.3.175,3884.96,0,False,False,True,False
TXN-FB2F10B58EC8,USR0009,2969.48,2024-01-09 03:02:17,kolkata,jaipur,travel,DEV-16D6794E,desktop,upi,115832.99,pending,,,0,False,False,False,False
TXN-08E622F0F087,USR0002,13673.13,2024-01-09 03:16:43,jaipur,bengaluru,gaming,DEV-63BCC428,tablet,wallet,71374.59,pending,248.22.197.253,,0,False,False,True,False
TXN-8B92F81835AD,USR0088,5790.0291055753,2024-01-09 03:17:04,hyderabad,chennai,travel,DEV-94AED53B,desktop,card,157409.69,success,232.121.153.226,,0,False,False,True,False
TXN-5D234B945ABD,USR0105,12767.2401,2024-01-09 05:45:28,bengaluru,jaipur,unknown,DEV-63352EB1,tablet,unknown,123382.81,failed,62.233.143.118,,0,False,False,True,False
TXN-F1123D593C8C,USR0026,7315.9923,2024-01-09 12:01:08,chennai,chennai,groceries,DEV-F5E899F0,mobile,upi,109992.33,failed,97.174.86.193,,1,False,False,True,False
TXN-9811C3FC03C8,USR0089,3300.0,2024-01-09 18:49:25,chennai,delhi,fashion,DEV-F3ECEE63,desktop,card,26783.2,pending,19.193.27.255,,0,False,False,True,False
TXN-4F367C3C1CD7,USR0084,8010.6085888928,2024-01-09 19:54:04,jaipur,hyderabad,fashion,DEV-B9CECBD4,tablet,upi,192540.43,failed,94.215.45.45,,0,False,False,True,False
TXN-A2EC16B31160,USR0017,9688.3418082609,2024-01-09 23:36:46,bengaluru,kolkata,travel,DEV-97F0D867,desktop,unknown,121866.85,failed,6.7.236.54,,0,False,False,True,False
TXN-523C4720D3A2,USR0040,,2024-01-10 02:24:27,pune,hyderabad,gaming,DEV-8F830AF4,tablet,upi,38904.74,failed,118.147.81.161,,0,True,False,True,False
TXN-B2E016FCCC65,USR0065,10478.0,2024-01-10 02:25:30,ahmedabad,chennai,groceries,DEV-4D4F7137,mobile,card,37406.46,pending,220.171.180.122,,0,False,False,True,False
TXN-05CA558816BE,USR0057,8884.0,2024-01-10 03:31:26,hyderabad,chennai,food,DEV-A206A508,desktop,unknown,16715.93,success,90.188.34.176,,0,False,False,True,False
TXN-09D91B62396B,USR0115,5778.0,2024-01-10 04:07:28,delhi,chennai,fashion,DEV-7829974A,tablet,unknown,24414.79,failed,172.10.41.188,,0,False,False,True,False
TXN-DEA7F703F055,USR0078,8473.0,2024-01-10 05:41:08,jaipur,jaipur,food,DEV-07582F8D,tablet,netbanking,71309.19,failed,137.102.125.93,,0,False,False,True,False
TXN-C61E24C12CE9,USR0118,,2024-01-10 06:06:42,bengaluru,ahmedabad,gaming,DEV-2EF070DD,mobile,unknown,177114.3,pending,169.68.212.135,,0,True,False,True,False
TXN-CFED25DFA01A,USR0012,14704.1592,2024-01-10 06:19:09,bengaluru,mumbai,food,DEV-B55812E2,desktop,upi,144661.01,success,214.139.162.74,,0,False,False,True,False
TXN-30C9D0FCF26F,USR0098,3537.8921794586,2024-01-10 06:22:07,ahmedabad,ahmedabad,fashion,DEV-F2B30614,mobile,unknown,80592.26,failed,150.129.176.87,,0,False,False,True,False
TXN-B11B337334BA,USR0078,5710.6518488219,2024-01-10 08:16:34,bengaluru,hyderabad,travel,DEV-82233E31,mobile,unknown,38561.09,success,224.1.196.196,,1,False,False,True,False
TXN-64ED5431921B,USR0021,8081.4141,2024-01-10 11:42:35,chennai,bengaluru,travel,DEV-1F67BBFE,mobile,card,82556.95,pending,44.57.53.191,,0,False,False,True,False
TXN-CC594371C9B1,USR0074,3042.3656,2024-01-10 13:36:25,bengaluru,chennai,food,DEV-F2E6F48F,tablet,wallet,179345.53,failed,151.164.159.36,,0,False,False,True,False
TXN-1EA7F30F69E6,USR0082,5675.1946,2024-01-10 15:14:54,mumbai,pune,travel,DEV-D2AD9EFD,tablet,unknown,171124.68,success,117.107.243.180,,0,False,False,True,False
TXN-B1511647C628,USR0106,13403.3697642783,2024-01-10 15:32:59,bengaluru,kolkata,fashion,DEV-3290D6D3,desktop,card,84224.97,pending,234.243.161.24,,0,False,False,True,False
TXN-69EACE8A5AC4,USR0025,11029.0676,2024-01-10 15:36:49,hyderabad,hyderabad,fashion,DEV-80E70FEB,tablet,unknown,34737.41,pending,177.51.59.129,,0,False,False,True,False
TXN-CE5C935E6774,USR0089,3727.3452,2024-01-10 15:40:19,jaipur,bengaluru,food,DEV-09A608BA,tablet,netbanking,173396.35,pending,29.205.23.21,13243.0003572345,0,False,False,True,False
TXN-269D00AD46F2,USR0052,7691.52,2024-01-10 17:05:36,pune,delhi,unknown,DEV-B3B63709,desktop,upi,173925.05,success,45.107.222.215,,0,False,False,True,False
TXN-08A80CD7D9E0,USR0049,14085.46,2024-01-10 17:55:30,pune,chennai,electronics,DEV-31836A6B,tablet,unknown,51718.74,success,203.161.236.236,,0,False,False,True,False
TXN-C8F6A3194D1C,USR0078,10977.89,2024-01-10 19:56:36,bengaluru,mumbai,electronics,DEV-DA33557C,mobile,wallet,55178.36,failed,101.211.234.131,,0,False,False,True,False
TXN-2DC40D00FBB9,USR0081,179.72,2024-01-10 22:26:07,pune,mumbai,fashion,DEV-3E5077F9,mobile,wallet,1248.68,success,37.80.196.61,,0,False,False,True,False
TXN-31ED1BFC9CB6,USR0007,11850.76,2024-01-11 01:15:06,mumbai,jaipur,gaming,DEV-2F7E9FCA,mobile,netbanking,82311.9,pending,142.56.218.106,,0,False,False,True,False
TXN-85DC52BF7556,USR0046,3111.328,2024-01-11 03:19:23,chennai,kolkata,groceries,DEV-C441D1AC,desktop,wallet,167779.38,success,37.174.146.45,,0,False,False,True,False
TXN-C0F93D0DFF84,USR0008,11759.0,2024-01-11 03:40:54,pune,chennai,electronics,DEV-C2F9C2BB,desktop,upi,164752.21,pending,172.160.105.177,,1,False,False,True,False
TXN-09248A5DFCA2,USR0026,11329.0,2024-01-11 06:52:06,hyderabad,pune,travel,DEV-E3643DF0,desktop,wallet,55646.36,failed,11.136.71.45,,0,False,False,True,False
TXN-0E7BAC85137F,USR0001,12350.24,2024-01-11 07:58:16,mumbai,ahmedabad,groceries,DEV-D86C1B30,tablet,upi,143703.95,pending,129.93.244.96,,0,False,False,True,False
TXN-8B6D4EE4B79A,USR0113,10667.0,2024-01-11 09:41:12,ahmedabad,chennai,unknown,DEV-2B5F29D8,mobile,wallet,61630.81,success,166.202.28.240,,0,False,False,True,False
TXN-554EDDC8F212,USR0115,,2024-01-11 13:22:46,chennai,bengaluru,groceries,DEV-6C5B70E7,tablet,netbanking,49188.24,pending,137.209.50.159,,1,True,False,True,False
TXN-4304315EED92,USR0032,5816.0,2024-01-11 15:05:54,jaipur,chennai,gaming,DEV-B7600367,desktop,upi,160323.33,success,230.33.49.228,,0,False,False,True,False
TXN-DD5D08EC4D3A,USR0069,,2024-01-11 17:51:25,pune,bengaluru,unknown,DEV-FA868DD7,tablet,upi,185974.92,success,167.254.158.5,,0,True,False,True,False
TXN-1CEF201A44CF,USR0103,9407.173,2024-01-11 18:56:14,hyderabad,ahmedabad,unknown,DEV-368CF0FD,mobile,upi,144822.61,pending,44.158.175.216,,0,False,False,True,False
