transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,amt,is_amount_missing,is_device_id_invalid,is_valid_ip,is_amount_outlier
TXN-84C174060FB7,USR0066,27301.0,2024-01-01 00:00:00.000000,ahmedabad,new york,education,DEV-F4D1FD11,atm,upi,189788.19,success,192.43.114.250,,False,False,True,True
TXN-1B0DCADFF60E,USR0055,3588.94,2024-01-01 00:00:00.000000,chennai,chennai,education,DEV-??,atm,wallet,165882.53,success,192.57.220.87,,False,True,True,False
TXN-D9E7C6BC74BE,USR0037,2478.8,2024-01-01 00:00:00.000000,kolkata,kolkata,electronics,NEW-CE49D344,atm,card,724.84,success,192.142.127.51,,False,True,True,False
TXN-625454E6733C,USR0073,4613.76,2024-01-01 00:00:00.000000,lucknow,bengaluru,education,DEV-EA16BFF2,mobile,wallet,148139.25,pending,192.6.147.62,,False,False,True,False
TXN-59E5ABB0E257,USR0007,10116.44,2024-01-01 00:00:00.000000,delhi,delhi,grocery,DEV-??,mobile,wallet,155776.94,success,192.138.110.189,,False,True,True,False
TXN-84FF4C7622C3,USR0036,1887.58,2024-01-01 00:00:00.000000,pune,pune,fuel,DEV-E85F5307,web,wallet,82458.41,pending,192.168.210.170,,False,False,True,False
TXN-AA45FB8B7C04,USR0080,3986.0,2024-01-01 00:00:00.000000,hyderabad,hyderabad,entertainment,DEV-4517D965,mobile,wallet,66139.51,failed,192.168..1,,False,False,False,False
TXN-1CB32AA26460,USR0055,1126.67,2024-01-01 00:00:00.000000,chennai,chennai,electronics,DEV-A1809503,atm,card,184780.95,success,192.230.201.159,,False,False,True,False
TXN-0A53BB620576,USR0024,3526.34,2024-01-01 00:00:00.000000,delhi,delhi,electronic,NEW-2E20BA3D,atm,upi,175590.65,success,192.63.34.138,,False,True,True,False
TXN-5CC1C2D08F47,USR0062,4892.6,2024-01-01 00:00:00.000000,chennai,chennai,clothing,DEV-4C7E5A01,web,wallet,118146.47,success,192.114.65.91,,False,False,True,False
