transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,amt
TXN-6FBEE60B0809,USR0026,5714.80,"March 15, 2024 09:04 AM",Kolkata,KOLKATA,Clothing,DEV-92E9AD7C,web,Card,180819.6,success,192.168..1,
TXN-01215371610E,USR0036,1113.55,20240414121722,PUNE,Pune,Clothing,DEV-E85F5307,web,NetBanking,82245.17,success,not_an_ip,
TXN-AAF199F7AF77,USR0054,3575.880000,2024-02-05T06:55:07.397519,chennai,Madras,Travel,DEV-6BB77D17,ATM,,103919.05,success,192.20.15.244,
TXN-FFF37921021F,USR0066,8482.110000,2024-05-09T23:54:15.993795,AHMEDABAD,Ahmedabad,Fuel,DEV-F4D1FD11,ATM,Wallet,176124.85,failed,192.101.38.152,
TXN-80324BF143F2,USR0052,₹823,"June 14, 2024 02:39 AM",PNQ,Pune,Grocery,DEV-38A2F6A1,ATM,NetBanking,125135.52,success,192.78.222.46,
TXN-335F2C87669B,USR0080,3455 INR,20240414120403,HYD,hyderabad,Travel,DEV-3B2EDBA5,ATM,Wallet,53931.61,success,192.108.181.205,
TXN-55DEC1A1436A,USR0025,3669.85,2024-04-17T22:10:26.994115,Ahmedabad,ahmedabad,Utilities,DEV-1D2C9392,ATM,UPI,12063.7,success,192.176.217.191,
TXN-7B21C3A1EC52,USR0030,5571.72,20240124101749,LKO,mumbai,Healthcare,DEV-FD12373E,web,UPI,71263.15,success,192.27.149.179,
TXN-8BCAEBB75A3E,USR0052,1108.14,1713698399,pune,H#,Grocery,DEV-38A2F6A1,mobile,Card,124750.89,success,192.213.115.199,
TXN-89D571C83277,USR0040,1036.53,1711261770,PUNE,PNQ,Utilities,DEV-B3231FA3,ATM,Card,73165.96,success,192.144.232.19,
TXN-74BF32C76DCC,USR0077,4525.8199999999997090,202406050228,pune,PNQ,Healthcare,NEW-A14ED10D,mobile,NetBanking,10266.26,success,192.139.252.113,
TXN-361DF249A5C7,USR0007,3780.41,2024-01-06T00:32:20.707053,DELHI,CHENNAI,Healthcare,CNP-67419E22,web,Wallet,165201.93,success,192.170.164.172,
TXN-BABEF48E24EA,USR0017,3642.3899999999998727,18-Mar-2024,lucknow,lucknow,Food & Dining,CNP-444CACF9,mobile,Card,821.96,success,192.104.136.141,
TXN-732BD3A5433D,USR0025,3933.00,"May 02, 2024 08:06 AM",Ahmedabad,ahmedabad,Electronics,DEV-63FAE5B7,ATM,UPI,11528.73,success,192.241.124.117,
TXN-AA00644B696D,USR0036,1730.18,2024-06-16T18:39:26.810208,pune,lucknow,Electronics,DEV-E85F5307,mobile,UPI,69231.22,failed,192.122.196.60,
TXN-A48C685EF1E0,USR0037,3589.620000,202403152315,CCU,kol,Electronics,CNP-BCC3D365,web,UPI,832.95,success,192.79.38.121,
TXN-DBFEA81DE523,USR0024,3768.60,1718357450,DELHI,AMD,Electronics,NEW-2E20BA3D,web,Card,191193.96,success,192.14.23.84,
TXN-0B2A8F3383B6,USR0025,1683.310000000000,"March 21, 2024 12:18 AM",Ahmedabad,AMD,Fuel,CNP-C59CB7DD,mobile,Wallet,11378.27,success,192.37.226.242,
TXN-14C04F3E775A,USR0049,13261.49,29-Mar-2024,delhi,delhi,Fuel,DEV-E13F76DD,web,Card,95947.07,success,192.254.146.199,
TXN-8D73C2D9FA6C,USR0052,4354.940000000000,"February 18, 2024 04:00 PM",PUNE,de,Entertainment,,ATM,NetBanking,107151.26,success,192.187.139.213,
TXN-BC9CFBB7FA0D,USR0073,7.78,24-May-2024,BENGALURU,Bengaluru,Utilities,DEV-EA16BFF2,web,NetBanking,,success,192.134.195.211,
TXN-64F6F15CF48A,USR0034,5040.410000000000,202406201649,DEL,DEL,Grocery,DEV-CA19D20B,ATM,NetBanking,65978.01,success,192.189.214.151,
TXN-B9A752A4B2B0,USR0017,1366.840000,29/04/2024 13:08:50,Lu...,L,Education,CNP-BB1C7B92,web,UPI,676.72,success,192.108.10.13,
TXN-9F2FF6F0A6BA,USR0024,5595.22,20240610031353,Delhi,Calcutta,Healthcare,NEW-2E20BA3D,ATM,Card,180281.22,success,192.121.165.5,
TXN-2A1F795FB05D,USR0007,7531.6999999999998181,13/01/2024 08:12:06,DELHI,DELHI,Food & Dining,CNP-67419E22,mobile,Card,160724.99,success,192.227.37.231,
TXN-CF4640EF8ED6,USR0052,1546.0399999999999636,23/04/2024 15:59:49,Pun??,pune,Fuel,DEV-38A2F6A1,mobile,Wallet,108340.3,success,192.232.204.107,
TXN-21E22BD231EB,USR0025,6442.69,202405130849,AMD,Ahmedabad,Healthcare,DEV-63FAE5B7,mobile,Card,12068.46,success,192.26.147.154,
TXN-677C20277103,USR0017,4147.350000,13-Feb-2024,LUCKNOW,lucknow,Utilities,CNP-444CACF9,mobile,Card,823.32,failed,192.92.73.145,
TXN-03C7BB6A902F,USR0011,1678106.56,24/05/2024 21:07:58,MUMBAI,mumbai,Travel,NEW-EB8F7F78,ATM,Card,34096.66,success,192.212.139.56,
TXN-4C9B9BBE7F9A,USR0017,13594.6900000000005093,25/04/2024 04:12:21,Lucknow,LUCKNOW,Electronics,DEV-16252DB5,web,Card,747.36,success,192.117.181.19,
TXN-8316B5C5A274,USR0058,2449.62,1718531005,jaipur,jaipur,Clothing,DEV-B2DC7D4E,mobile,NetBanking,20567.21,success,192.40.202.223,
TXN-B20A7CDDFE45,USR0030,1631.100000000000,2024-05-02T23:02:27.534723,LKO,Luc#,Entertainment,DEV-0B26ABB7,ATM,Wallet,60580.33,success,192.229.165.222,
TXN-53F156E697A4,USR0025,1463.2100000000000364,20240228191443,ahmedabad,ahmedabad,Electronics,DEV-FBBCF37B,web,Wallet,11369.5,success,192.21.230.233,
TXN-D3A428D51D13,USR0053,1552.08,13/01/2024 00:21:08,New Delhi,New York,Grocery,CNP-DBC5E006,web,Wallet,191245.66,success,192.26.171.17,
TXN-42D85D384FA1,USR0049,2802.6399999999998727,"June 24, 2024 11:51 PM",Delhi,De...,Travel,DEV-E13F76DD,mobile,UPI,98833.34,success,192.47.216.131,
TXN-D392BA559C4C,USR0034,3916.370000,1707288513,Delhi,BOM,Grocery,DEV-CA19D20B,web,Wallet,64817.77,success,192.84.224.12,
TXN-01ACC59F242E,USR0054,3719.53,20240526022349,CHENNAI,Madras,Grocery,DEV-6BB77D17,mobile,Wallet,90445.37,success,192.102.70.224,
TXN-F850AC97E417,USR0052,5777.62,18-May-2024,Pune,Pune,Education,DEV-38A2F6A1,web,NetBanking,107131.26,success,192.197.41.96,
TXN-ADB36D7627DF,USR0026,₹3012,20240306023358,kolkata,Bombay,Grocery,,ATM,NetBanking,172734.19,success,192.62.24.62,
TXN-8E737CEDA36F,USR0062,9535.980000,25/04/2024 21:00:19,CHENNAI,chennai,Electronics,DEV-4C7E5A01,mobile,NetBanking,108821.64,success,567.20.399.894,
TXN-45B7F95FE6C0,USR0052,2412.15,20240310081041,PNQ,PNQ,Entertainment,DEV-38A2F6A1,ATM,NetBanking,125796.19,success,192.69.32.184,
TXN-5DDC837E3280,USR0040,26268.75,2024-06-21T00:04:56.978710,pune,Ahmedabad,Healthcare,CNP-6788046F,ATM,Card,69817.17,success,192.197.173.250,
TXN-9E1BAEDE084A,USR0055,4917 INR,21-Feb-2024,Chennai,Madras,Grocery,DEV-A1809503,ATM,Wallet,179760.18,success,192.180.222.71,
TXN-AB6CD3C79A76,USR0062,1501.580000,11/03/2024 13:09:09,Chennai,Madras,Entertainment,DEV-C3CC0CC4,web,UPI,111381.85,success,192.168..1,
TXN-8ED64D9CE968,USR0060,1265.580000,"March 02, 2024 01:08 AM",Chennai,CHENNAI,Clothing,DEV-2D629CFD,web,Wallet,77850.98,success,192.37.231.45,
TXN-62BE85FC061F,USR0039,4385.14,1715271692,ahmedabad,Bombay,Food & Dining,CNP-EABF4ADD,ATM,Card,538.07,success,192.66.44.17,
TXN-FED4C63556D0,USR0080,2492.970000,"June 08, 2024 09:02 PM",hyderabad,HYDERABAD,Grocery,DEV-4517D965,ATM,NetBanking,63153.8,success,192.115.177.243,
TXN-B72FF7024649,USR0070,5277.4600000000000364,1713308785,HYDERABAD,HYDERABAD,Fuel,DEV-99FD020C,web,NetBanking,76855.77,success,192.135.107.197,
TXN-E4D45D079A08,USR0052,,"June 21, 2024 03:01 PM",Pun??,PNQ,Entertainment,DEV-38A2F6A1,ATM,UPI,98185.77,success,192.176.204.34,
TXN-01D32D4A4C9E,USR0043,4352.87,21/02/2024 22:30:30,JAI,Pune,Education,DEV-F3506444,web,Card,108257.16,success,192.46.201.130,
TXN-74E963A40787,USR0024,2812.24,"April 06, 2024 02:22 AM",DEL,Delhi,Electronics,NEW-2E20BA3D,web,UPI,156218.78,success,192.230.143.212,
TXN-BE6001BDE86E,USR0055,0.01,20240313111349,che,Chennai,Grocery,,web,UPI,191245.66,success,not_an_ip,
TXN-89C1A184CB81,USR0036,887.25,1714028246,pune,pune,Healthcare,DEV-E85F5307,mobile,Wallet,61671.78,success,999.168.1.1,
TXN-6867991114DC,USR0062,₹2085,23/04/2024 07:24:56,MAA,chennai,Healthcare,DEV-4C7E5A01,ATM,,96686.21,success,192.241.31.181,
TXN-2DE5736376E1,USR0024,5914.240000000000,1710389270,De...,delhi,Healthcare,NEW-2E20BA3D,ATM,UPI,191245.66,success,192.106.250.82,
TXN-F8CAB5083388,USR0049,₹3537,2024-02-25T21:11:44.709489,de,delhi,Healthcare,CNP-2DC124B0,web,UPI,90310.96,success,192.139.70.28,
TXN-5E76F31B105A,USR0049,1100.380000000000,"February 13, 2024 07:42 PM",DELHI,Delhi,Hea...,DEV-F2DE0432,web,Wallet,85080.72,success,192.45.118.137,
TXN-C5CE77C2295E,USR0068,,2024-06-27T22:21:56.925100,H#,HYD,Healthcare,DEV-789650F5,web,Card,90718.09,pending,192.252.68.218,
TXN-26974142AA7A,USR0025,3423.9299999999998363,"March 30, 2024 02:41 AM",Ahmedabad,Ahmedabad,Entertainment,DEV-1D2C9392,mobile,Wallet,10258.44,success,192.133.196.61,
TXN-7F8DF2702369,USR0025,4057.220000000000,1704259059,Ahmedabad,ahmedabad,Utilities,DEV-FBBCF37B,mobile,UPI,13075.77,success,192.191.212.180,
TXN-2214A16DCB24,USR0041,1469.85,1716849083,New Delhi,DELHI,Entertainment,DEV-9FF0CC43,mobile,Wallet,144945.79,success,192.105.250.24,
TXN-ADF4B6EF697B,USR0039,3371.050000,"March 29, 2024 04:50 PM",AHMEDABAD,Ahmedabad,Trave#,CNP-??,ATM,NetBanking,546.12,failed,192.209.92.197,
TXN-156540E931D9,USR0052,7.78,1719021296,PNQ,PNQ,Entertainment,DEV-38A2F6A1,web,Card,120980.98,success,,
TXN-5E8B9090F479,USR0056,1194.67,18/02/2024 01:29:22,Bangalore,Delhi,Entertainment,CNP-5D847891,ATM,UPI,140831.5,success,192.224.119.139,
TXN-B97939B89920,USR0068,3968.84,15-Feb-2024,hyderabad,HYD,Travel,CNP-E465A145,mobile,Card,105660.72,success,192.218.253.13,
TXN-51CFE4F793EA,USR0079,4668 INR,"March 02, 2024 09:24 PM",hyderabad,HYDERABAD,Utilities,DEV-DB9FE240,mobile,UPI,140039.17,success,192.169.40.237,
TXN-DF786C33EAF0,USR0034,7090 INR,1704931841,DEL,HYD,Fuel,DEV-CA19D20B,web,NetBanking,,failed,999.168.1.1,
TXN-A4AC583582E9,USR0080,6926.030000000000,1715874477,HYDERABAD,hyderabad,Grocery,DEV-3B2EDBA5,web,NetBanking,67742.78,success,192.160.211.12,
TXN-6E926318D740,USR0024,990.160000000000,20240422110005,Delhi,DELHI,Travel,NEW-2E20BA3D,web,Wallet,154855.64,success,192.250.94.235,
TXN-73EAACD22F90,USR0080,1407.74,"June 07, 2024 08:08 PM",hyderabad,Bangalore,Utilities,DEV-3B2EDBA5,mobile,Wallet,62583.82,success,192.6.8.136,
TXN-B2231EA2369E,USR0044,4500.8800000000001091,10/05/2024 21:13:16,ba#,bangalore,Fuel,DEV-1245DE29,mobile,UPI,31948.99,success,192.41.16.24,
TXN-D1800B736E10,USR0034,4496.3800000000001091,2024-02-03T06:42:19.886392,New Delhi,New Delhi,Electronics,DEV-CA19D20B,web,Wallet,80802.19,success,192.16.91.238,
TXN-1CD57665B61C,USR0002,4500.9200000000000728,1717839656,Ahmedabad,AMD,Clothing,DEV-646E193D,web,Wallet,10301.11,success,192.118.38.88,
TXN-3F35B7D67082,USR0052,7.78,"January 06, 2024 06:03 PM",pune,pune,Clothing,DEV-38A2F6A1,mobile,Wallet,98533.8,success,192.199.162.93,
TXN-A0EF138862A2,USR0002,4706.56,2024-01-20T20:25:58.196494,ahmedabad,Ahmedabad,Electronics,DEV-646E193D,ATM,Wallet,9765.96,pending,192.86.194.44,
TXN-44B7438359B3,USR0025,7394.210000,23/02/2024 14:04:31,Ahmedabad,Ahmedabad,Fuel,CNP-C59CB7DD,ATM,,12676.5,success,192.225.171.111,
TXN-D18CCC722B9C,USR0068,6394.55,202404270310,hyderabad,kolkata,Entertainment,DEV-789650F5,ATM,Wallet,116162.01,success,184.698.786.563,₹5019
