transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,amt,is_amount_missing,is_device_id_invalid,is_valid_ip,is_amount_outlier
TXN-0540E2FAE9CF,USR0206,4129.83,2024-01-01 00:00:56.000000,delhi,mumbai,education,DEV-8A95670B,mobile,wallet,125447.69,success,192.226.207.229,,False,False,True,False
TXN-A0896040A66A,USR0123,1681.17,2024-01-01 00:07:25.000000,lucknow,lucknow,entertainment,DEV??,mobile,netbanking,28951.82,failed,78.148.27.10,,False,True,True,False
TXN-16AB5D0F6206,USR0950,3514.33,2024-01-01 00:19:57.000000,lucknow,lucknow,healthcare,DEV-E4DEAA86,web,netbanking,0.0,success,24.70.154.31,,False,False,True,False
TXN-B1F29FEBD209,USR2597,34.3,2024-01-01 00:44:55.000000,hyderabad,hyderabad,electronics,DEV-53D3959C,mobile,wallet,1164.24,failed,167.229.238.233,,False,False,True,False
TXN-EA4C01439E52,USR0518,477.39,2024-01-01 00:58:12.000000,chennai,hyderabad,electronics,DEV-23606C86,atm,upi,125560.9,success,103.72.52.47,477.39,False,False,True,False
TXN-6BDBC2155B89,USR0367,6128.68,2024-01-01 01:05:43.000000,delhi,delhi,food dining,DEV-ED6B080B,web,card,564.8,success,220.21.153.251,,False,False,True,False
TXN-5C48CAB360DB,USR0650,6779.86,2024-01-01 01:12:37.000000,jaipur,jaipur,entertainment,DEV-14DF700D,atm,card,0.0,success,24.113.39.22,,False,False,True,False
TXN-D713870C7441,USR0062,12775.78,2024-01-01 01:18:11.000000,jaipur,ahmedabad,grocery,DEV-7DB32905,atm,wallet,0.0,success,103.223.172.85,,False,False,True,False
TXN-5800BF1B150F,USR2484,6601.54,2024-01-01 01:35:54.000000,jaipur,jaipur,tra,DEV-C921E17F,mobile,unknown,1403.31,success,192.247.163.150,,False,False,True,False
TXN-F95F043D577D,USR1367,9731.67,2024-01-01 01:39:38.000000,bengaluru,bengaluru,fuel,DEV-5DCB6CBC,mobile,card,1290.12,success,192.47.169.80,,False,False,True,False
TXN-E3CA4A4CC075,USR1163,109151.99,2024-01-01 01:43:47.000000,mumbai,mumbai,education,D?!,atm,wallet,83729.22,success,192.131.234.248,,False,True,True,True
TXN-79CCC5AE78AF,USR0899,2700.37,2024-01-01 01:47:23.000000,jaipur,jaipur,entertainment,DEV-1EB31DAE,web,card,0.0,success,192.6.205.201,,False,False,True,False
TXN-3140BA090EA4,USR2087,2406.1,2024-01-01 02:04:05.000000,jaipur,jaipur,grocery,DEV-DC8AD324,atm,netbanking,310.44,success,103.69.213.122,,False,False,True,False
TXN-1C820FEA129F,USR1095,4032.66,2024-01-01 02:26:06.000000,lucknow,lucknow,fuel,DEV-198C10C5,mobile,upi,127257.95,failed,66.213.255.45,,False,False,True,False
TXN-BD21A319E854,USR1034,5099.95,2024-01-01 02:29:07.000000,hyderabad,hyderabad,travel,DEV-5556CD54,web,upi,60808.44,success,136.73.193.130,,False,False,True,False
TXN-8D4A3BBAB981,USR0663,22453.54,2024-01-01 02:31:06.000000,bengaluru,chennai,healthcare,DEV-2CB9D1BC,atm,upi,44455.82,success,192.50.99.33,,False,False,True,False
TXN-18BB233CE346,USR2021,836.6,2024-01-01 02:37:11.000000,hyderabad,hyderabad,grocery,DEV-80BACDE2,mobile,upi,15382.65,success,220.97.153.133,,False,False,True,False
TXN-34EEB9983C6D,USR0389,822.05,2024-01-01 02:44:02.000000,jaipur,ahmedabad,education,DEV-62360577,mobile,upi,90571.59,success,192.116.177.12,,False,False,True,False
